`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
11,619477,80,73,H,117,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING REPUBLICAN,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,STEPFATHER,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,WORKING,CRAFTSMEN,NO,NO,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,LARGE GOVT DEFICIT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,SOME ARE,DK/NA,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,OPPOSE,NO OPINION,OPPOSE,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,U.S.,MEXICO,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,61,OWN,"$20,000-25,000",INAP,IMP IF INTEREST AFF,MALE,GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
12,415386,85,75,J,154,0,ASIAN SURNAME,YES,REGISTERED,REPUBLICAN,NO,NO,NO,NO,WEAK REPUBLICAN,SELDOM,NEVER,YES,DUMPS ENVIRONMENT,"POLLUTION, LITTER",BUDDHIST,NOT PROTESTANT,0,GRADUATE WORK,DIVORCED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,ENVIRONMENT/POLLU,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,NO OPINION,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,38,OWN,"$30,000-40,000",DK/NA,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
13,408375,81,53,N,133,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,2 CHILDREN,1 CHILD,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,SALES,YES,NO,WORKING,SALES,YES,NO,WHITE,ITALIAN,WHITE,INAP,NON-HISPANIC,HIGH TAXES,YES,ENVIRONMENT/POLLU,GOVT ACTION REQD,LOCAL GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,OPPOSE,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,56,OWN,"$10,000-15,000",MONDALE,IMP IF INTEREST AFF,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
14,213681,66,37,N,4604,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,LEANING DEMOCRAT,SELDOM,SELDOM,YES,NEIGHBORHOOD WATCH,CRIME,PROTESTANT,NOT EVANGELICAL,METHODIST,SOME COLLEGE,DIVORCED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,HOUSEWIFE,INAP,INAP,NO,INAP,INAP,INAP,INAP,HOUSEWIFE,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,ECO:GEN,YES,TOO LITTL DEF EXPEND,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MINORITIES,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,NO OPINION,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,GE,INAP,YES,INAP,INAP,10,OWN,"LESS THAN $10,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
15,707644,58,95,N,251701,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING DEMOCRAT,SELDOM,FREQUENTLY,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,WORKING,CRAFTSMEN,NO,NO,OTHER,ITALIAN,WHITE,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,66,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
16,213349,67,37,H,115201,0,HISPANIC SURNAME,YES,REGISTERED,DK/NA,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,WHITE,ITALIAN,WHITE,INAP,NON-HISPANIC,LOSS OF ETH. HERITAGE,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,NO OPINION,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,NO OPINION,OPPOSE,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,MI,INAP,YES,INAP,INAP,19,OWN,"$10,000-15,000",DK/NA,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
17,213899,67,37,H,104102,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,REGISTERED,DEMOCRAT,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,YES,1 CHILD,NO CHILDREN,INAP,SOMEONE ELSE,MOTHER,INAP,INAP,INAP,INAP,UNEMPLOYED/LAID OFF,INAP,INAP,NO,UNEMPLOYED/LAID OFF,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,REAGAN GOVT POLICY,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,BLACKS,WHITES,DK/NA,YES,DK/NA,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,WON'T CHANGE MUCH,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,OPPOSE,OPPOSE,NO OPINION,FAVOR,FAVOR,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,SPANISH,INAP,62,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,VERY LOW,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
18,415584,85,81,A,6005,0,ASIAN SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,YES,NATIONAL SECURITY,WORLD/NATIONL ISSUES,NONE,NOT PROTESTANT,0,COMPLETED COLLEGE,MARRIED,YES,4 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,ASIAN,CHINESE,ASIAN-AMERICAN,CHINESE,NON-HISPANIC,DK/NA,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,YES,GETTING A JOB,DK/NA,DK/NA,DK/NA,FAVOR,OPPOSE,DK/NA,DK/NA,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,CHINA,INAP,INAP,INAP,NO,NO,WILL STAY IN U.S.,37,CITIZEN,ZZ,INAP,DK/NA,INAP,INAP,100,OWN,"$25,000-30,000",REAGAN,IMPORTANT,MALE,GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN,DK/NA,ENG LANG INTERVIEWS,DK/NA
19,415439,49,13,N,313102,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,FREQUENTLY,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,HIGH SCHOOL GRAD,MARRIED,YES,MORE THAN 5 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,UNION,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,WHITE,ENGLISH,WHITE,INAP,NON-HISPANIC,ECO:GEN,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,IA,INAP,YES,INAP,INAP,23,OWN,"$10,000-15,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
20,213488,66,37,H,4334,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,OTHER,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,DIVORCED,YES,3 CHILDREN,3 CHILDREN,SOME WILL/SOME WON'T,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,YES,UNEMPLOYMENT,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,DK/NA,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,MEN,DK/NA,INAP,INAP,SOME ARE,WHITES,NO,INAP,LESS PREJUDICED,OPPOSE,NO OPINION,FAVOR,OPPOSE,OPPOSE,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,ALWAYS ONE'S CHOICE,U.S.,NO,MEXICO,U.S.,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,45,OWN,"$10,000-15,000",REAGAN,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
21,707795,58,97,H,151202,0,HISPANIC SURNAME,NO,REGISTERED,INDEPENDENT,NO,NO,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,YES,ANIMAL SHELTER,MISCELLANEOUS,PROTESTANT,NOT EVANGELICAL,MORMON LDS,SOME COLLEGE,DIVORCED,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,UNEMPLOYED/LAID OFF,INAP,INAP,NO,INAP,INAP,INAP,INAP,UNEMPLOYED/LAID OFF,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,WHITE,SCOTTISH,WHITE,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,YES,WOMEN,UNEMPLOYMENT,GOVT ACTION REQD,FED GOVT,INAP,YES,DK/NA,WHITE WOMEN,DK/NA,INAP,YES,MEN,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,EUROPE/WHITE SETTLER,U.S.,INAP,INAP,INAP,100,INAP,UT,INAP,YES,INAP,INAP,49,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
22,209465,86,77,N,8,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,SOME HIGH SCHOOL,MARRIED,YES,4 CHILDREN,1 CHILD,WON'T GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,OTHER,INAP,INAP,NO,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,SOUTHERNERS,YES,GETTING A JOB,LESS PREJUDICED,NO OPINION,FAVOR,NO OPINION,DK/NA,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,44,OWN,"LESS THAN $10,000",MONDALE,IMPORTANT,FEMALE,GOOD,AVERAGE,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
23,213681,66,37,N,4604,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,YES,YES,NO,YES,STRONG DEMOCRAT,FREQUENTLY,NEVER,YES,CRIME,CRIME,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,UNION,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,UNION,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,DK/NA,YES,"DRUGS, ALCOHOLISM",GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,BLACKS,REAGAN GOVT POLICY,GOVT ACTION REQD,FED GOVT,INAP,YES,BLACKS,UNEMPLOYED,DK/NA,INAP,YES,BUSINESSMEN,DK/NA,INAP,INAP,MOST ARE,INAP,YES,DK/NA,LESS PREJUDICED,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,VA,INAP,YES,INAP,INAP,33,OWN,"$40,000-60,000",MONDALE,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
24,213677,68,37,H,6016,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,YES,NO,NO,NO,WEAK REPUBLICAN,NEVER,NEVER,YES,RED CROSS,WORLD/NATIONL ISSUES,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,RELS W/ SOVIET UNION,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,SOME ARE,DK/NA,NO,INAP,MORE PREJUDICED,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,SHD NEVER BE PERMTD,MEXICO,INAP,INAP,INAP,YES,YES,WILL STAY IN U.S.,79,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,62,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
25,213732,56,37,H,2213,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,DK/NA,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,0-8 YEARS,MARRIED,YES,MORE THAN 5 CHILDREN,2 CHILDREN,SOME WILL/SOME WON'T,SOMEONE ELSE,WIFE,INAP,INAP,INAP,INAP,HOUSEWIFE,INAP,INAP,NO,HOUSEWIFE,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,THREAT/NUCLEAR WAR,YES,UNEMPLOYMENT,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEN,WOMEN,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,NO OPINION,NO OPINION,FAVOR,FAVOR,NO OPINION,NO OPINION,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,DK/NA,INAP,INAP,INAP,YES,YES,DK/NA,82,NOT CITIZEN,ZZ,INAP,DK/NA,INAP,INAP,50,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,DK/NA,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,DK/NA,NO,ENG LANG INTERVIEWS,NO
26,619477,80,73,H,117,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,CHURCH OF CHRIST,HIGH SCHOOL GRAD,MARRIED,NO,INAP,INAP,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,LABORER,YES,NO,WORKING,LABORER,YES,NO,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,YES,TEACHERS,FAMILY RELATED,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,STUDENTS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,NO OPINION,NO OPINION,FAVOR,NO OPINION,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,72,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,62,OWN,"$20,000-25,000",INAP,NOT IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
27,619461,80,73,H,3107,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK REPUBLICAN,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,LABORER,YES,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,YES,NO,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,LESS PREJUDICED,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,72,NOT CITIZEN,ZZ,INAP,DK/NA,INAP,INAP,47,OWN,"$25,000-30,000",INAP,IMP IF INTEREST AFF,MALE,VERY GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN,NO,ENG LANG INTERVIEWS,NO
